"NOTA_MT","AFAZERES_DOM","REGIAO","SEXO","RACA_COR","IDADE"
232.103485,"Menos de 1 hora","Sudeste","Feminino","Parda","Não tem defasagem"
277.204513,"Entre 1 e 2 horas","Sul","Feminino","Branca","Não tem defasagem"
223.917718,"Entre 1 e 2 horas","Centro-Oeste","Masculino","Parda","Não tem defasagem"
268.420195,"Entre 1 e 2 horas","Nordeste","Feminino","Branca","Não tem defasagem"
141.226975,"Mais de 3 horas","Nordeste","Feminino","Parda","Não tem defasagem"
287.679685,"Não faço trabalhos domésticos","Sudeste","Masculino","Não quero declarar","Não tem defasagem"
232.344828,"Menos de 1 hora","Norte","Masculino","Parda","Não tem defasagem"
253.290198,"Entre 1 e 2 horas","Sudeste","Feminino","Parda","Não tem defasagem"
215.914104,"Mais de 2 horas, até 3 horas","Sul","Feminino","Branca","Não tem defasagem"
175.745015,"Entre 1 e 2 horas","Sudeste","Feminino","Parda","Não tem defasagem"
238.009068,"Não faço trabalhos domésticos","Sudeste","Feminino","Branca","Não tem defasagem"
193.969547,"Não faço trabalhos domésticos","Nordeste","Masculino","Parda","Não tem defasagem"
190.342917,"Não faço trabalhos domésticos","Sudeste","Masculino","Branca","Não tem defasagem"
