ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,31,3148004,2,2,1,269.143487,291.013663,A,F,D,B,A,A,A,B,A,A
2017,3,31,3156007,2,3,2,260.965428,259.958432,B,A,C,A,A,A,A,A,C,A
2017,4,41,4121307,2,3,1,223.950456,253.869019,A,A,D,A,A,B,A,D,E,B
2017,3,33,3304557,1,3,1,262.854359,198.020399,B,C,C,B,A,A,B,A,A,B
2017,2,29,2908507,2,3,1,280.874571,258.127455,A,C,D,C,A,C,C,B,A,C
2017,5,53,5300108,1,2,1,199.522224,216.107827,B,F,D,A, ,B,A,A,C,C
2017,4,42,4211900,2,2,1,171.8323,197.202694,A,F,C,A,A,B,B,B,A,A
2017,3,31,3125507,2,3,1,272.114286,299.035889,B,A,C,B,A,A,A,B,A,C
2017,2,29,2933455,2,3,1,211.553017,197.857026,B,C,C,B,A,B,A,A,D,C
2017,1,15,1504208,2,3,1,210.257221,168.706103,A,F,D,A,B,A,B,A,A,C
2017,3,35,3539301,2,3,1,251.314117,283.066836,A,C,D,B,A,A,A,B,A,A
2017,4,42,4219606,2,3,2,293.046458,292.83497,B,A,D,B,A,A,A,C,B,A
2017,4,41,4108403,2,3,2,265.222492,295.002754,A,C,C,A,A,A,A,A,B,A
2017,1,13,1302603,1,2,1,272.192078,266.274657,B,C,D,B,A,B,C,D,C,B
2017,1,15,1505106,2,3,1,166.321421,147.185321,B,C,C,A,A,A,C,B,A,C
2017,4,43,4314498,2,3,2,109.493554,174.453958,A,A,G,A,C,B,C,B,A,A
2017,3,31,3165578,2,3,1,232.396434,233.884438,B,C,D,A,C,B,A,B,A,B
2017,4,43,4312252,2,3,1,282.845261,258.447719,A,E,D,C,A,A,C,B,B,C
2017,2,29,2923506,2,3,1,168.12314,261.6219,A,C,C,A,A,B,C,D,A,C
2017,3,31,3162575,2,3,2,295.106068,253.290198,B,C,D,B,A,B,A,B,B,A
2017,2,25,2507507,1,3,1,121.498012,165.1134,B,C,F,A,A,B, ,D,B,A
2017,2,23,2307650,2,3,1,189.793673,176.401023,B,C,C,A,A,A,A,D,A,A
2017,3,35,3511300,2,3,1,273.57145,233.719779,B,A,D,C,A,B,A,B,A,A
2017,2,29,2914406,2,3,2,198.753782,166.87194,B,A,C,A,A,A,A,C,C,A
2017,5,52,5218805,2,3,1,269.750946,284.283444,B,C,C,A,A,A,B,B,D,A
2017,3,31,3155603,2,3,1,225.577639,236.563022,B,C,C,A,A,B,B,A,B,C
2017,5,52,5200308,2,3,1,140.579654,134.122669,A,A,E,B,A,A,A,B,E,C
2017,2,29,2927408,1,3,1,238.348445,213.151905,A,B,D,B,A,A,A,D,C,A
2017,2,28,2800308,1,2,1,180.017246,166.251088,B,B,D,C,A,A,A,E,A,A
2017,5,50,5003207,2,3,1,204.80689,259.545332,A,F,D,B,A,A,A,D,A,C
2017,4,43,4305108,2,3,1,266.720425,236.631434,A,A,D,B,A,A,A,B,A,A
2017,2,25,2505238,2,3,2,164.017141,168.909718,B,C,E,A,B,B,C,B,A,A
2017,4,42,4201406,2,2,1,196.505697,249.114259,A,A,D,B,A,C,A,E,B,C
2017,3,35,3518800,2,3,1,163.642396,217.987206,B,A,D,A,A,A,A,A,B,B
2017,3,35,3518800,2,2,1,216.017948,196.703911,A,C,D,B,A,C,C,D,E,A
2017,3,31,3160405,2,3,1,240.320788,260.437262,B,B,D,C,A,A,B,D,B,B
2017,3,35,3552205,2,3,1,181.37987,199.161553,B,A,C,C,A,A,B,B,A,A
2017,5,53,5300108,1,2,1,267.795572,265.782581,B,A,C,C,A,A,A,B,C,C
2017,5,52,5220454,2,3,1,244.01612,241.919519,A,A,D,B,A,A,A,D,C,B
2017,3,35,3512803,2,3,1,273.19665,296.782981,A,A,C,B,A,B,A,D,A,B
2017,3,35,3552502,2,2,1,265.016608,244.448199,A,F,C,B,A,A,A,B,A,A
2017,1,13,1304104,2,3,1,122.674256,175.171112,A,C,D,A, ,A,C,A,D,B
2017,1,17,1721000,1,2,1,209.636815,255.744039,B,C,C,B,A,A,B,A,A,A
2017,3,31,3106200,1,2,1,235.325252,200.713962,B,A,D,A,A,A,B,D,E,B
2017,3,31,3136702,2,2,1,232.497585,205.231851,A,A,D,D,A,A,A,B,A,B
2017,2,27,2709400,2,3,1,217.69747,262.158187,B,F,F,A,A,C,B,A,A,C
2017,3,35,3509205,2,3,1,217.935197,203.837784,A,B,C,B,A,A,A,B,B,C
2017,2,29,2915205,2,3,1,287.154058,206.214773,B,A,C,A,A,B,B,A,B,A
2017,2,23,2313302,2,3,1,247.807645,239.770962,B,C,D,A,A,B,C,D,A,A
2017,3,35,3551009,2,3,1,193.584923,256.766421,A,B,D,B,A,B,A,C,E,B
2017,2,21,2108504,2,3,1,145.806526,169.44757,B,C,C,B,A,A, ,A,E,C
2017,1,15,1503903,2,3,2,138.825701,163.283932,B,C,D,A,A,B,C,C,A,C
2017,2,21,2113009,2,3,1,169.124847,170.911614,A,F,D,B,A,A,A,B,A,B
2017,2,26,2607901,2,3,1,194.063849,203.358731,B,A,D,B,A,A,A,D,D,C
2017,2,23,2304400,1,3,1,143.832366,149.788115,B,C, ,A,A,A,A,A,B,A
2017,1,15,1502400,2,3,1,207.355288,235.28795,A,C,D,A,A,A,C,E,A,B
2017,2,29,2900207,2,3,2,176.268748,210.080845,B,C,D,A,B,B,A,A,D,C
2017,5,53,5300108,1,2,2,169.74889,190.648872,B, ,C,A,A,C,A,D,A,A
2017,3,35,3554805,2,3,1,247.106252,195.903421,B,C,C,A,A,C,A,A,A,B
2017,3,31,3105905,2,3,1,247.260568,301.510801,B,A,C, ,A,A,B,D,B,A
2017,2,21,2111805,2,3,1,251.198421,224.559585,B,F,C,B,A,A,A,B,A,B
2017,4,43,4304606,2,2,1,162.711704,190.468395,B,F,C,D,A,C,A,D,C,B
2017,2,28,2804003,2,3,1,198.424985,169.908347,A,B,D,A,A,A, , ,A,A
2017,3,35,3550308,1,3,1,160.205342,132.284817,B,F,C,C,A,A,A,A,B,B
2017,3,35,3550308,1,2,1,247.809904,240.225702,B,A,D,B,A,A,B,C,A,B
2017,2,29,2913705,2,3,2,170.630328,154.646443,B,F,D,A,A,A,A,E,A,A
2017,1,15,1501758,2,3,1,159.128873,167.53432,B,B,D,A,A,B,A,A,D,B
2017,5,51,5107065,2,3,1,204.819506,233.348374,B,A,C,B,A,A,A,D,A,A
2017,3,35,3525904,2,3,1,222.254958,262.071945,A,B,D,B,A,A,A,D,E,B
2017,3,33,3303401,2,3,1,323.908438,228.16995,B,A,C,B,A,A,B,D,A,C
2017,1,13,1302603,1,3,1,249.55719,228.563823,B,C,C,B,A,C,C,B,D,C
2017,2,26,2611606,1,3,1,159.495078,131.939626,A,C,E,A,A,B,A,D,E,C
2017,2,29,2902005,2,3,2,116.730122,174.462342,A,B,C,A,A,A,A,A,A,C
2017,1,16,1600303,1,3,1,242.816242,251.828222,B,A,D,C,A,A,A,A,A,B
2017,2,23,2304202,2,3,2,227.775588,212.685931,A,A,D,A,A,C,A,D,D,B
2017,3,31,3147105,2,3,1,231.780215,290.267388,A,C,D,A,A,B,B,B,A,C
2017,4,41,4104808,2,3,1,206.2202,269.989708,B,C,C,B,A,A,A,A,B,C
2017,2,24,2414001,2,3,1,199.673786,255.088701,B,C,C,B,A,A,A,C,A,A
2017,3,31,3101607,2,2,1,162.331285,160.902136,B,F,D,B,A,A,B,B,E,A
2017,3,33,3304557,1,3,1,188.953499,183.338099,B,C,C,A,A,A,B,C,A,B
2017,3,35,3509502,2,2,1,238.757569,242.194006,B,F,C,B,A,A,A,D,B,B
2017,2,22,2207207,2,3,2,199.774332,166.701357,B,A,D,A,A,A,A,D,C,A
2017,2,26,2616407,2,3,1,106.753927,185.03309,A, ,C,B,A,A,B,D,B,B
2017,4,41,4115101,2,3,1,155.176199,197.288936,B,A,C,A,A,A,A,A,A,B
2017,4,42,4209102,2,3,1,236.017941,230.263789,B,F,C,C,A,A,B,B,A,A
2017,1,14,1400100,1,3,1,181.23233,175.291057,B,F,C,D,A,B,B,D,E,C
2017,3,35,3523909,2,3,1,255.733927,223.111974,B,C,C,A,A,B,A,D,A,B
2017,2,29,2922250,2,3,2,174.205998,247.532673,B, ,D,A,A,A,C,D,B,B
2017,3,32,3204203,2,3,1,294.991364,276.676163,A,A,D,B,B,A,A,D,E,C
2017,5,52,5201108,2,3,1,219.224603,278.757537,A,F,D,A,A,A,C,E,A,C
2017,3,35,3550308,1,2,1,159.196858,204.080692,A,C,C,B,A,B,A,A,A,A
2017,2,23,2304459,2,3,2,126.655963,193.394247,B,C,D,A,A,A,B,A,A,B
2017,3,33,3301702,2,3,1,195.724529,208.134004,B,E,D,A,A,C,B,B,A,A
2017,2,29,2930501,2,3,2,114.087624,184.339075,A,A,F,A,A,A,A,A,A,A
2017,3,32,3205101,2,3,1,202.705023,233.786179,A,C,B,C,A,A,A,B,E,B
2017,4,41,4105508,2,3,1,251.893204,277.767181,B,A,D,D,A,A,A,C,A,C
2017,3,35,3554003,2,3,1,177.465541,182.844235,A,A,E,C,A,A,A,D,A,A
2017,3,31,3152808,2,3,1,236.097386,279.824019,A,F, ,A,A,B,A,A, ,B
2017,3,35,3503208,2,2,1,180.867171,205.394106,A,F,D,A,B,A,A,A,A,C
2017,3,35,3550308,1,3,1,195.048037,184.472322,A,A,D,B,A,A,A,D,E,A
2017,2,29,2933307,2,3,1,176.56752,196.043096,B,C,C,C,A,A,C,A,A,B
2017,3,35,3537602,2,3,1,236.033808,224.311815,B,C,D,B,A,C,A,B,A,B
2017,3,33,3304557,1,3,1,174.446535,217.340756,B,C,D,A,A,A,A,A,C,A
2017,3,35,3526902,2,3,1,197.924241,268.274316,B,A,D,B,A,A,A,D,C,A
2017,4,41,4106902,1,3,1,250.990168,252.088401,B,F,C,B,A,A,A,D,E,A
2017,3,35,3550308,1,2,1,275.584452,301.099042,A,F,D,B,A,A,A,D,B,C
2017,4,43,4314902,1,2,1,273.622522,257.625486,B,A,D,B,A,A,C,B,A,A
2017,2,26,2601706,2,3,1,201.959555,166.36958,B,C,C,B,B,B,A,A,B,B
2017,2,26,2611606,1,3,1,172.483944,223.406582,A,B,H,A,A,B,B,C,E,C
2017,1,15,1501303,2,3,1,174.898907,177.391267,B,E,D,B,A,C,C,A,B,A
2017,3,33,3300100,2,3,1,228.542433,210.567053,B,C,D,A,A,C,A,D,A,B
2017,2,22,2211001,1,3,1,268.021345,200.672713,B,C,D,A,A,A, ,B,D,B
2017,3,35,3551009,2,3,1,136.016766,157.830629,A,C,F,C,B,A,B,D, ,B
2017,3,35,3507159,2,3,1,246.953974,274.556949,A,C,C,B,A,A,B,D,D,C
2017,5,50,5002605,2,3,1,272.001951,232.949806,B,C,D,B,A,A,C,D,A,C
2017,5,52,5209101,2,3,1,174.584985,197.680126,A,C,E,A,B,A,B,D,A,C
2017,2,26,2604502,2,3,1,189.597045,185.077413,A,C,D,B,A,B,B,D,E,A
2017,5,52,5208806,2,3,1,246.268337,225.283782,B,F,D,A,A,A,A,D,A,B
2017,5,52,5220454,2,3,1,220.639345,173.76134,B,C,D,B,A,A,C,A,E,A
2017,3,35,3550308,1,2,1,231.036069,228.185377,A,F,D,A,A,A,A,C,A,B
2017,5,52,5212501,2,3,1,207.864847,205.826769,A,A,D,D,A,A,A,A,A,A
2017,3,31,3114303,2,3,1,223.048578,240.923126,B,C,C,A,A, , , ,A,A
2017,5,53,5300108,1,2,1,214.20879300000001,221.866078,B,A,C,C,A,B,A,C,D,A
2017,2,23,2304103,2,3,1,180.743101,135.66485,A, ,D,B,A,A,B, ,D,B
2017,3,35,3525854,2,3,1,296.460098,259.993868,A,A,C,C,A,A,A,B,A,A
2017,5,52,5217609,2,3,1,257.716021,248.366587,B,D,D,A,A,B,A, ,A,B
2017,2,23,2306405,2,3,1,209.755486,250.260499,B,C,C,A,A,C,C,B,B,C
2017,3,31,3137205,2,2,1,224.953816,253.533721,B,C,C,A,A,C,B,B,A,A
2017,4,43,4316501,2,3,1,197.30367,234.000694,B,F,D,B,A,A,A,B,E,C
2017,2,29,2913606,2,3,1,147.03935,176.321153,B,A,E,B,A,A,A, , ,C
2017,3,35,3550308,1,2,1,276.027623,335.489144,A,A,C,B,A,A,A,B,A,C
2017,3,35,3543006,2,3,1,212.565633,232.108347,B,A,D,A,A,B,B,D,A,B
2017,2,29,2919058,2,3,1,202.09244,226.228251,A,B,D,A,A,B,A,D,A,B
2017,3,35,3538105,2,3,1,174.957581,203.661612,A,C,D,A,A,B,A,A,B,C
2017,3,35,3550308,1,2,1,263.881354,273.211901,A,C,C,B,A,A,B,C,B,B
